method,dataset,x
simple_regression_zero_combined,BPI2012A,5.0903413754184
simple_regression_zero_agg,BPI2012A,5.14468600154282
simple_regression_zero_laststate,BPI2012A,5.28980090205247
adaptive3000_FA_zero_combined,BPI2012A,5.76906739245486
predictive_FA_zero_agg,BPI2012A,5.77002187830806
adaptive3000_FA_zero_agg,BPI2012A,5.77192280370544
predictive_FA_zero_combined,BPI2012A,5.77322192979398
adaptive3000_FA_zero_laststate,BPI2012A,5.91304590861073
predictive_FA_zero_laststate,BPI2012A,5.91304590861073
adaptive30000_FA_zero_agg,BPI2012A,6.05487234295505
adaptive30000_FA_zero_combined,BPI2012A,6.05487234295505
adaptive30000_FA_zero_laststate,BPI2012A,6.05487234295505
mean_FA_zero_agg,BPI2012A,6.05487234295505
mean_FA_zero_combined,BPI2012A,6.05487234295505
mean_FA_zero_laststate,BPI2012A,6.05487234295505
adaptive3000_FA_zero_laststate,BPI2012O,5.09677664630015
adaptive3000_FA_zero_agg,BPI2012O,5.1034917464429
adaptive3000_FA_zero_combined,BPI2012O,5.10635869420525
simple_regression_zero_agg,BPI2012O,5.2048559145679
simple_regression_zero_combined,BPI2012O,5.2103237833179
simple_regression_zero_laststate,BPI2012O,5.21469372104938
predictive_FA_zero_laststate,BPI2012O,5.47674005155864
predictive_FA_zero_agg,BPI2012O,5.51127919719136
predictive_FA_zero_combined,BPI2012O,5.51302057908951
adaptive30000_FA_zero_agg,BPI2012O,5.60290424340664
adaptive30000_FA_zero_combined,BPI2012O,5.60290424340664
adaptive30000_FA_zero_laststate,BPI2012O,5.60290424340664
mean_FA_zero_agg,BPI2012O,5.60290424340664
mean_FA_zero_combined,BPI2012O,5.60290424340664
mean_FA_zero_laststate,BPI2012O,5.60290424340664
simple_regression_zero_combined,BPI2012W,6.82286113265561
simple_regression_zero_agg,BPI2012W,6.85265499721451
simple_regression_zero_laststate,BPI2012W,6.90866859145576
adaptive30000_FA_zero_agg,BPI2012W,7.01342191575617
adaptive30000_FA_zero_combined,BPI2012W,7.01342191575617
adaptive30000_FA_zero_laststate,BPI2012W,7.01342191575617
mean_FA_zero_agg,BPI2012W,7.01342191575617
mean_FA_zero_combined,BPI2012W,7.01342191575617
mean_FA_zero_laststate,BPI2012W,7.01342191575617
adaptive3000_FA_zero_laststate,BPI2012W,8.29251414436728
predictive_FA_zero_laststate,BPI2012W,8.29321560430298
predictive_FA_zero_combined,BPI2012W,8.32801484636188
adaptive3000_FA_zero_combined,BPI2012W,8.32848367155607
predictive_FA_zero_agg,BPI2012W,8.5111611565162
adaptive3000_FA_zero_agg,BPI2012W,8.51409890033179
simple_regression_zero_combined,BPI2012W_no_dup,4.12722393471451
simple_regression_zero_laststate,BPI2012W_no_dup,4.15015510014146
simple_regression_zero_agg,BPI2012W_no_dup,4.1789209131803
adaptive30000_FA_zero_agg,BPI2012W_no_dup,4.25040070281764
adaptive30000_FA_zero_combined,BPI2012W_no_dup,4.25040070281764
adaptive30000_FA_zero_laststate,BPI2012W_no_dup,4.25040070281764
mean_FA_zero_agg,BPI2012W_no_dup,4.25040070281764
mean_FA_zero_combined,BPI2012W_no_dup,4.25040070281764
mean_FA_zero_laststate,BPI2012W_no_dup,4.25040070281764
predictive_FA_zero_laststate,BPI2012W_no_dup,4.41923766489069
adaptive3000_FA_zero_laststate,BPI2012W_no_dup,4.42075885050412
predictive_FA_zero_combined,BPI2012W_no_dup,4.43349359697016
adaptive3000_FA_zero_combined,BPI2012W_no_dup,4.43584199844779
predictive_FA_zero_agg,BPI2012W_no_dup,4.4532093699267
adaptive3000_FA_zero_agg,BPI2012W_no_dup,4.4578388568287
simple_regression_zero_combined,CreditRequirement,0.238959043269676
simple_regression_zero_agg,CreditRequirement,0.240241513577894
adaptive3000_FA_zero_combined,CreditRequirement,0.265853344878241
adaptive3000_FA_zero_agg,CreditRequirement,0.265938523011651
adaptive30000_FA_zero_agg,CreditRequirement,0.265950824126929
predictive_FA_zero_agg,CreditRequirement,0.267163228169965
adaptive30000_FA_zero_combined,CreditRequirement,0.267411691343152
predictive_FA_zero_combined,CreditRequirement,0.26808136159973
simple_regression_zero_laststate,CreditRequirement,0.284171925203144
adaptive30000_FA_zero_laststate,CreditRequirement,0.331029211873997
adaptive3000_FA_zero_laststate,CreditRequirement,0.331029211873997
predictive_FA_zero_laststate,CreditRequirement,0.331029211873997
mean_FA_zero_agg,CreditRequirement,0.379533229830729
mean_FA_zero_combined,CreditRequirement,0.379533229830729
mean_FA_zero_laststate,CreditRequirement,0.379533229830729
simple_regression_zero_combined,helpdesk,4.66884424773534
simple_regression_zero_agg,helpdesk,4.73620279756173
simple_regression_zero_laststate,helpdesk,4.74214084416667
adaptive30000_FA_zero_agg,helpdesk,4.87962674288194
adaptive30000_FA_zero_combined,helpdesk,4.87962674288194
adaptive30000_FA_zero_laststate,helpdesk,4.87962674288194
adaptive3000_FA_zero_agg,helpdesk,4.87962674288194
adaptive3000_FA_zero_combined,helpdesk,4.87962674288194
adaptive3000_FA_zero_laststate,helpdesk,4.87962674288194
mean_FA_zero_agg,helpdesk,4.87962674288194
mean_FA_zero_combined,helpdesk,4.87962674288194
mean_FA_zero_laststate,helpdesk,4.87962674288194
predictive_FA_zero_laststate,helpdesk,4.99810194728395
predictive_FA_zero_agg,helpdesk,5.08284895508102
predictive_FA_zero_combined,helpdesk,5.25583702076389
simple_regression_zero_agg,hospital_billing_977,41.0141454999306
simple_regression_zero_combined,hospital_billing_977,42.7272239914583
simple_regression_zero_laststate,hospital_billing_977,46.1501461847454
simple_regression_zero_laststate,traffic_fines_139,204.526224658218
simple_regression_zero_agg,traffic_fines_139,218.459557150628
simple_regression_zero_combined,traffic_fines_139,223.035100220734
